suite,suite_label,tier,model_tier,model_tier_label,model,model_label,run_id,subject,all_pass_private,all_pass_public,n_private,n_public,passed_private,passed_public,private_all_pass,public_all_pass,all_visible_pass
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095819-f9e98781,clinic_shift_tier_a_f_claude_opus46_r01,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095820-f15841ba,clinic_shift_tier_a_f_claude_opus46_r03,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095820-f16bd3ca,clinic_shift_tier_a_f_claude_opus46_r02,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095831-7a4b3902,clinic_shift_tier_a_f_claude_opus46_r04,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095834-1f301190,clinic_shift_tier_a_f_claude_opus46_r05,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095835-5873dcf9,clinic_shift_tier_a_f_claude_opus46_r06,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095843-b43ffbd6,clinic_shift_tier_a_f_claude_opus46_r07,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095851-82956c31,clinic_shift_tier_a_f_claude_opus46_r08,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095852-4a5110d9,clinic_shift_tier_a_f_claude_opus46_r09,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,claude_opus46,Claude Opus 4.6,20260513-095852-80eb355f,clinic_shift_tier_a_f_claude_opus46_r10,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095855-92466e9e,clinic_shift_tier_a_f_gemini31_pro_preview_r01,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095857-abb543a4,clinic_shift_tier_a_f_gemini31_pro_preview_r02,False,False,17,6,11,4,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095903-35bbf8a1,clinic_shift_tier_a_f_gemini31_pro_preview_r03,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095906-abc5979f,clinic_shift_tier_a_f_gemini31_pro_preview_r04,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095908-b82ae303,clinic_shift_tier_a_f_gemini31_pro_preview_r05,False,False,17,6,4,1,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095916-7b10a45e,clinic_shift_tier_a_f_gemini31_pro_preview_r06,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095924-2c1bbe87,clinic_shift_tier_a_f_gemini31_pro_preview_r07,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095928-563abceb,clinic_shift_tier_a_f_gemini31_pro_preview_r08,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095928-644e3533,clinic_shift_tier_a_f_gemini31_pro_preview_r10,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,20260513-095928-d03a270c,clinic_shift_tier_a_f_gemini31_pro_preview_r09,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095730-7867a6a7,clinic_shift_tier_a_f_gpt54_r01,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095737-7a945b73,clinic_shift_tier_a_f_gpt54_r02,False,False,17,6,15,5,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095739-98c96f0e,clinic_shift_tier_a_f_gpt54_r03,False,False,17,6,15,5,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095740-7ea50bed,clinic_shift_tier_a_f_gpt54_r04,False,False,17,6,15,5,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095742-c126f281,clinic_shift_tier_a_f_gpt54_r05,False,False,17,6,15,5,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095754-e843421e,clinic_shift_tier_a_f_gpt54_r06,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095756-b28571e5,clinic_shift_tier_a_f_gpt54_r07,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095757-cf711f4f,clinic_shift_tier_a_f_gpt54_r08,True,True,17,6,17,6,True,True,True
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095808-0d3239d0,clinic_shift_tier_a_f_gpt54_r09,False,False,17,6,15,5,False,False,False
clinic_shift_command,Clinic Shift Command,A,F,Frontier,gpt54,GPT-5.4,20260513-095817-643d4e35,clinic_shift_tier_a_f_gpt54_r10,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095201-b2bfc288,clinic_shift_tier_a_m_claude_haiku45_r01,False,False,17,6,2,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095203-888f62d9,clinic_shift_tier_a_m_claude_haiku45_r02,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095216-34525902,clinic_shift_tier_a_m_claude_haiku45_r03,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095217-6846332a,clinic_shift_tier_a_m_claude_haiku45_r04,False,False,17,6,0,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095218-f772c878,clinic_shift_tier_a_m_claude_haiku45_r05,False,False,17,6,6,1,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095229-906c361c,clinic_shift_tier_a_m_claude_haiku45_r06,False,False,17,6,6,1,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095235-5b4f49cc,clinic_shift_tier_a_m_claude_haiku45_r08,False,False,17,6,2,0,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095235-fd8ed1b3,clinic_shift_tier_a_m_claude_haiku45_r07,False,False,17,6,4,1,False,False,False
clinic_shift_command,Clinic Shift Command,A,M,Small,claude_haiku45,Claude Haiku 4.5,20260513-095247-8f83d960,clinic_shift_tier_a_m_claude_haiku45_r09,False,False,17,6,0,0,False,False,False
