suite,tier,model_tier,batch,model,rep,run_dir,summary_path,run_id,subject,suite_label,tier_label,model_tier_label,model_label,view_all_available_raw,view_current_raw,view_paper_main_raw,passed,formal_ratio,stepwise_ratio,formal_earned,formal_possible,stepwise_earned,stepwise_possible,conformance_gap,contract_ratio,contract_failures,probe_passed,probe_total,primary_raw_failure,primary_failure_group,n_scenarios
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.0,0.0525716719883143,0.0,118.0,6.203457294621087,118.0,0.0525716719883143,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r02,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r02/20260525-234538-2d525912,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r02/20260525-234538-2d525912/summary.json,20260525-234538-2d525912,repeat_tier_c_m_claude_haiku45_r02,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.8983050847457628,0.973035439137134,106.0,118.0,114.81818181818181,118.0,0.07473035439137121,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r03,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r03/20260525-234730-7d91e8fa,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r03/20260525-234730-7d91e8fa/summary.json,20260525-234730-7d91e8fa,repeat_tier_c_m_claude_haiku45_r03,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.0,0.1818675583378243,0.0,118.0,21.460371883863267,118.0,0.1818675583378243,0.896551724137931,3,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r04,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r04/20260525-234828-52f89454,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r04/20260525-234828-52f89454/summary.json,20260525-234828-52f89454,repeat_tier_c_m_claude_haiku45_r04,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.11016949152542373,0.24981550022644408,13.0,118.0,29.478229026720403,118.0,0.13964600870102034,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r05,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r05/20260525-234933-59128f09,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r05/20260525-234933-59128f09/summary.json,20260525-234933-59128f09,repeat_tier_c_m_claude_haiku45_r05,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.0,0.0525716719883143,0.0,118.0,6.203457294621087,118.0,0.0525716719883143,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r06,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r06/20260525-235001-08af66d0,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r06/20260525-235001-08af66d0/summary.json,20260525-235001-08af66d0,repeat_tier_c_m_claude_haiku45_r06,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.3728813559322034,0.7103824391320739,44.0,118.0,83.82512781758471,118.0,0.3375010831998705,1.0,0,0,0,assertion_state_removed_object_fields,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r07,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r07/20260525-235136-4d4f3978,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r07/20260525-235136-4d4f3978/summary.json,20260525-235136-4d4f3978,repeat_tier_c_m_claude_haiku45_r07,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.0,0.0525716719883143,0.0,118.0,6.203457294621087,118.0,0.0525716719883143,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r08,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r08/20260525-235204-c53008f1,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r08/20260525-235204-c53008f1/summary.json,20260525-235204-c53008f1,repeat_tier_c_m_claude_haiku45_r08,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.0,0.0,0.0,118.0,0.0,118.0,0.0,0.0,29,0,0,invalid_state_hook,invalid observation surface,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r09,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r09/20260525-235221-3b371987,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r09/20260525-235221-3b371987/summary.json,20260525-235221-3b371987,repeat_tier_c_m_claude_haiku45_r09,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.4661016949152542,0.89940516513975,55.0,118.0,106.1298094864905,118.0,0.4333034702244958,1.0,0,0,0,assertion_table_order_equals,rendered-projection mismatch,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r10,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r10/20260525-235350-1dc88565,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r10/20260525-235350-1dc88565/summary.json,20260525-235350-1dc88565,repeat_tier_c_m_claude_haiku45_r10,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,False,0.0,0.0525716719883143,0.0,118.0,6.203457294621087,118.0,0.0525716719883143,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,gemini31_flash_lite,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/gemini31_flash_lite/r01/20260525-235415-bf6ce381,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/gemini31_flash_lite/r01/20260525-235415-bf6ce381/summary.json,20260525-235415-bf6ce381,repeat_tier_c_m_gemini31_flash_lite_r01,Campus Registrar Command,C,Small,Gemini 3.1 Flash Lite,True,True,True,False,0.0,0.0525716719883143,0.0,118.0,6.203457294621087,118.0,0.0525716719883143,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,gemini31_flash_lite,r02,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/gemini31_flash_lite/r02/20260525-235615-fc150e67,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/gemini31_flash_lite/r02/20260525-235615-fc150e67/summary.json,20260525-235615-fc150e67,repeat_tier_c_m_gemini31_flash_lite_r02,Campus Registrar Command,C,Small,Gemini 3.1 Flash Lite,True,True,True,False,0.0,0.0525716719883143,0.0,118.0,6.203457294621087,118.0,0.0525716719883143,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,gemini31_flash_lite,r03,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/gemini31_flash_lite/r03/20260525-235704-0b2b61ac,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/gemini31_flash_lite/r03/20260525-235704-0b2b61ac/summary.json,20260525-235704-0b2b61ac,repeat_tier_c_m_gemini31_flash_lite_r03,Campus Registrar Command,C,Small,Gemini 3.1 Flash Lite,True,True,True,False,0.0,0.0525716719883143,0.0,118.0,6.203457294621087,118.0,0.0525716719883143,1.0,0,0,0,assertion_state_equals,wrong state transition,29
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,gemini31_flash_lite,r04,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/gemini31_flash_lite/r04/20260525-235904-4da9dc7d,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/gemini31_flash_lite/r04/20260525-235904-4da9dc7d/summary.json,20260525-235904-4da9dc7d,repeat_tier_c_m_gemini31_flash_lite_r04,Campus Registrar Command,C,Small,Gemini 3.1 Flash Lite,True,True,True,False,0.0,0.0525716719883143,0.0,118.0,6.203457294621087,118.0,0.0525716719883143,1.0,0,0,0,assertion_state_equals,wrong state transition,29
