suite,tier,model_tier,batch,model,rep,run_dir,summary_path,run_id,subject,suite_label,tier_label,model_tier_label,model_label,view_all_available_raw,view_current_raw,view_paper_main_raw,capability,scenario_ratio,step_ratio,passed,failed,total
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,smoke,0.0,0.125,0,2,2
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,core,0.0,0.07142857142857142,0,1,1
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,validation,0.0,0.0516468253968254,0,5,5
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,upload,0.0,0.06047979797979798,0,5,5
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,journey,0.0,0.027151979565772668,0,5,5
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,service,0.0,0.023268398268398268,0,2,2
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,persistence,0.0,0.07559523809523809,0,5,5
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r01,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r01/20260525-234422-0ef03d9e/summary.json,20260525-234422-0ef03d9e,repeat_tier_c_m_claude_haiku45_r01,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,permission,0.0,0.05848214285714285,0,4,4
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r02,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r02/20260525-234538-2d525912,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r02/20260525-234538-2d525912/summary.json,20260525-234538-2d525912,repeat_tier_c_m_claude_haiku45_r02,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,smoke,1.0,1.0,2,0,2
campus_registrar_command,C,M,rerun_missing_20260525T122900Z,claude_haiku45,r02,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r02/20260525-234538-2d525912,/Users/chansungpark/Developers/backup/b/detoxbench/targets/web/campus_registrar_command/tier_c/cohorts/M/rerun_missing_20260525T122900Z/runs/claude_haiku45/r02/20260525-234538-2d525912/summary.json,20260525-234538-2d525912,repeat_tier_c_m_claude_haiku45_r02,Campus Registrar Command,C,Small,Claude Haiku 4.5,True,True,True,core,1.0,1.0,1,0,1
